2017-10-29T13:31:38.052Z >> OptiZen - Start...
2017-10-29T13:31:38.071Z >> org.optizen.util.Settings : createIniFile(String) >> Le fichier OptiZen.ini existe d�j� !
2017-10-29T13:31:38.423Z >> OptiZen - End run...
2017-10-29T13:31:40.338Z >> org.optizen.util.Settings : zenTableData() >> Tentative de lecture de la section zenTableData ...
2017-10-29T13:31:40.358Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN) param�tre COUNTER...
2017-10-29T19:28:37.136Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.140Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre commentaire...
2017-10-29T19:28:37.144Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.148Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre autre...
2017-10-29T19:28:37.154Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.158Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre ztable...
2017-10-29T19:28:37.163Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.167Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre variable...
2017-10-29T19:28:37.173Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.179Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre name...
2017-10-29T19:28:37.184Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.188Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre codeEqu...
2017-10-29T19:28:37.193Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.196Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre equipement...
2017-10-29T19:28:37.201Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.206Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre codeOrg...
2017-10-29T19:28:37.226Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.232Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre organe...
2017-10-29T19:28:37.237Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.241Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre unite...
2017-10-29T19:28:37.246Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.250Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre commentaire...
2017-10-29T19:28:37.254Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.257Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre autre...
2017-10-29T19:28:37.261Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.265Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre ztable...
2017-10-29T19:28:37.270Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.273Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre variable...
2017-10-29T19:28:37.278Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.281Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre name...
2017-10-29T19:28:37.286Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.290Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre codeEqu...
2017-10-29T19:28:37.294Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.298Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre equipement...
2017-10-29T19:28:37.303Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.307Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre codeOrg...
2017-10-29T19:28:37.312Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.315Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre organe...
2017-10-29T19:28:37.320Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.323Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre unite...
2017-10-29T19:28:37.328Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.332Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre commentaire...
2017-10-29T19:28:37.336Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.340Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre autre...
2017-10-29T19:28:37.344Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.348Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre ztable...
2017-10-29T19:28:37.352Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.356Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre variable...
2017-10-29T19:28:37.360Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.364Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre name...
2017-10-29T19:28:37.368Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.372Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre codeEqu...
2017-10-29T19:28:37.377Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.380Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre equipement...
2017-10-29T19:28:37.385Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.389Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre codeOrg...
2017-10-29T19:28:37.393Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.397Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre organe...
2017-10-29T19:28:37.402Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.406Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre unite...
2017-10-29T19:28:37.410Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.414Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre commentaire...
2017-10-29T19:28:37.419Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.423Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre autre...
2017-10-29T19:28:37.428Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.431Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre ztable...
2017-10-29T19:28:37.436Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.440Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre variable...
2017-10-29T19:28:37.444Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.448Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre name...
2017-10-29T19:28:37.452Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.456Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre codeEqu...
2017-10-29T19:28:37.460Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.464Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre equipement...
2017-10-29T19:28:37.468Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.472Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre codeOrg...
2017-10-29T19:28:37.476Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.480Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre organe...
2017-10-29T19:28:37.484Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.487Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre unite...
2017-10-29T19:28:37.491Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.495Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre commentaire...
2017-10-29T19:28:37.499Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.503Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\6) param�tre autre...
2017-10-29T19:28:37.507Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.511Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre ztable...
2017-10-29T19:28:37.515Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.519Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre variable...
2017-10-29T19:28:37.524Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.528Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre name...
2017-10-29T19:28:37.532Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.536Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre codeEqu...
2017-10-29T19:28:37.540Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.544Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre equipement...
2017-10-29T19:28:37.548Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.552Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre codeOrg...
2017-10-29T19:28:37.557Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.560Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre organe...
2017-10-29T19:28:37.564Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.568Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre unite...
2017-10-29T19:28:37.574Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.579Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre commentaire...
2017-10-29T19:28:37.583Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.586Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\7) param�tre autre...
2017-10-29T19:28:37.592Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.596Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre ztable...
2017-10-29T19:28:37.600Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.604Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre variable...
2017-10-29T19:28:37.609Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.612Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre name...
2017-10-29T19:28:37.617Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.621Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre codeEqu...
2017-10-29T19:28:37.625Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.629Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre equipement...
2017-10-29T19:28:37.633Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.637Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre codeOrg...
2017-10-29T19:28:37.641Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.645Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre organe...
2017-10-29T19:28:37.649Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.653Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre unite...
2017-10-29T19:28:37.657Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.661Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre commentaire...
2017-10-29T19:28:37.666Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.670Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\8) param�tre autre...
2017-10-29T19:28:37.674Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.678Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre ztable...
2017-10-29T19:28:37.682Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.686Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre variable...
2017-10-29T19:28:37.690Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.694Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre name...
2017-10-29T19:28:37.698Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.702Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre codeEqu...
2017-10-29T19:28:37.707Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.711Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre equipement...
2017-10-29T19:28:37.716Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.720Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre codeOrg...
2017-10-29T19:28:37.724Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.728Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre organe...
2017-10-29T19:28:37.734Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.737Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre unite...
2017-10-29T19:28:37.742Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.746Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre commentaire...
2017-10-29T19:28:37.751Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.755Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\9) param�tre autre...
2017-10-29T19:28:37.759Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.763Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre ztable...
2017-10-29T19:28:37.767Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.770Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre variable...
2017-10-29T19:28:37.774Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.779Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre name...
2017-10-29T19:28:37.784Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.788Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre codeEqu...
2017-10-29T19:28:37.793Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.797Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre equipement...
2017-10-29T19:28:37.801Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.805Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre codeOrg...
2017-10-29T19:28:37.810Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.813Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre organe...
2017-10-29T19:28:37.818Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.822Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre unite...
2017-10-29T19:28:37.826Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.830Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre commentaire...
2017-10-29T19:28:37.836Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.840Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\10) param�tre autre...
2017-10-29T19:28:37.844Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.847Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre ztable...
2017-10-29T19:28:37.851Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.855Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre variable...
2017-10-29T19:28:37.859Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.863Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre name...
2017-10-29T19:28:37.868Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.872Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre codeEqu...
2017-10-29T19:28:37.876Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.880Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre equipement...
2017-10-29T19:28:37.885Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.889Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre codeOrg...
2017-10-29T19:28:37.893Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.897Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre organe...
2017-10-29T19:28:37.901Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.905Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre unite...
2017-10-29T19:28:37.909Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.913Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre commentaire...
2017-10-29T19:28:37.917Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:37.921Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\11) param�tre autre...
2017-10-29T19:28:37.925Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:28:44.420Z >> FileName :C_\Users\r.hendrick\Documents/OptiZenLink_Sun_Oct_29_21_28_44_CAT_2017.xlsx
2017-10-29T19:29:41.355Z >> OptiZen - Start...
2017-10-29T19:29:41.376Z >> org.optizen.util.Settings : createIniFile(String) >> Le fichier OptiZen.ini existe d�j� !
2017-10-29T19:29:41.733Z >> OptiZen - End run...
2017-10-29T19:29:43.415Z >> org.optizen.util.Settings : zenTableData() >> Tentative de lecture de la section zenTableData ...
2017-10-29T19:29:43.436Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN) param�tre COUNTER...
2017-10-29T19:29:43.442Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:43.447Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre param...
2017-10-29T19:29:43.452Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:43.458Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre data...
2017-10-29T19:29:43.464Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:43.469Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre param...
2017-10-29T19:29:43.475Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:43.479Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre data...
2017-10-29T19:29:43.485Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:43.489Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre param...
2017-10-29T19:29:43.494Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:43.498Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre data...
2017-10-29T19:29:43.503Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:43.508Z >> org.optizen.util.Settings : zenTableData() >> ...Lecture r�ussie
2017-10-29T19:29:43.512Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urlzenon...
2017-10-29T19:29:43.517Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.109Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre company...
2017-10-29T19:29:44.114Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.119Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urloptimaint...
2017-10-29T19:29:44.124Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.227Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK) param�tre COUNTER...
2017-10-29T19:29:44.232Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.237Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre ztable...
2017-10-29T19:29:44.242Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.245Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre variable...
2017-10-29T19:29:44.250Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.253Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre name...
2017-10-29T19:29:44.258Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.262Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre codeEqu...
2017-10-29T19:29:44.267Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.272Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre equipement...
2017-10-29T19:29:44.276Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.281Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre codeOrg...
2017-10-29T19:29:44.286Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.289Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre organe...
2017-10-29T19:29:44.294Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.299Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre unite...
2017-10-29T19:29:44.304Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.308Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre commentaire...
2017-10-29T19:29:44.315Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T19:29:44.321Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre autre...
